team_id	team_name	github_owner	repos
6328	mechanical-advantage	Mechanical-Advantage	RobotCode2025Public
254	cheesy-poofs	Team254	FRC-2025-Public
971	spartan-robotics	frc971	971-Robot-Code
3061	huskie-robotics	HuskieRobotics	frc-software-2025
190	team-190	Team-190	2k25-Robot-Code
2910	jack-in-the-bot	FRCTeam2910	2025CompetitionRobot-Public
1678	citrus-circuits	frc1678	C2025-Public
3636	team-3636	FRC3636	frc-2025
4504	bc-robotics	BC-Robotics-4504	2024-Season
1155	sciborgs	SciBorgs	Reefscape-2025
2706	phantomcatz	PhantomCatz	RobotCode2025-Reefscape
3015	ranger-robotics	3015RangerRobotics	2024Public
581	blazing-bulldogs	team581	frc-2024-crescendo-gamma
4481	team-rembrandts	FRC-4481-Team-Rembrandts	2025-robot-public
3476	code-orange	FRC3476	FRC-2025
4099	the-falcons	team4099	Reefscape-2025
33	killer-bees	FRC33	Buzz26
2767	stryke-force	strykeforce	reefscape
1538	holy-cows	TheHolyCows	1538_2025
2056	op-robotics	Team2056	PublicCodeBank
1114	simbotics	Simbotics	2025-Simbot-CMD-Public
2877	ligerbots	ligerbots	ReefScape2025
4915	spartronics	Spartronics4915	2025-Reefscape
3847	spectrum	Spectrum3847	2025-Spectrum
5712	hemlock-gray-matter	Hemlock5712	2024-Robot
5026	iron-panthers	Iron-Panthers	FRC-2025
1257	parallel-universe	FRC1257	2025-Robot
1741	red-alert	RAR1741	RA25_RobotCode
9015	questionable-engineering	FRC9015	Reefscape
6995	nomad	frc6995	Robot-2025
868	techhounds	frc868	2025-Robot
95	grasshoppers	first95	FRC2025
2412	robototes	robototes	Reefscape2025
3128	aluminum-narwhals	team3128	3128-robot-2025
4607	cis-robotics	FRC4607	Comp-Bot-2025
7028	binary-battalion	STMARobotics	frc-7028-2025
5190	green-hope-falcons	FRC5190	2025CompetitionSeason
