team,name,source,is_sandiego,year,D1,D2,D3,D4,D5,D6,D7,D8,total,norm_epa,state_pctile,winrate,epa_points
3476,code-orange,national,False,2025,3,4,3,3,3,3,4,2,25,1636.0,0.872,0.5714,59.29
3015,ranger-robotics,national,False,2024,3,4,2,4,3,3,2,2,23,1649.0,0.9444,0.5769,32.57
190,team-190,national,False,2026,3,1,2,4,3,3,4,2,22,1705.0,0.9014,0.75,175.82
2706,phantomcatz,national,False,2026,4,3,4,0,4,3,1,2,21,1521.0,0.5378,0.3171,57.09
254,cheesy-poofs,national,False,2025,4,4,3,0,3,2,4,1,21,1840.0,0.9827,0.8571,92.77
1678,citrus-circuits,national,False,2026,4,3,2,3,1,3,3,2,21,1872.0,0.9863,0.8714,279.67
3647,millennium-falcons,sandiego,True,2025,2,3,3,0,3,3,3,4,21,1456.0,0.2803,0.4444,18.38
5026,iron-panthers,national,False,2026,3,3,3,0,3,2,4,2,20,1728.0,0.9244,0.6032,190.28
2910,jack-in-the-bot,national,False,2026,4,2,3,0,3,2,4,2,20,1875.0,0.9884,0.6974,281.69
1155,sciborgs,national,False,2026,3,1,2,4,2,3,3,2,20,1472.0,0.4605,0.4474,33.86
581,blazing-bulldogs,national,False,2026,2,3,2,4,2,1,4,2,20,1826.0,0.9794,0.7121,251.27
971,spartan-robotics,national,False,2026,2,3,3,3,1,2,2,3,19,1737.0,0.9416,0.5625,195.61
4738,patribots,sandiego,True,2025,3,3,2,0,3,2,2,4,19,1735.0,0.9585,0.7738,75.99
6328,mechanical-advantage,national,False,2026,3,1,2,0,3,3,4,2,18,1750.0,0.9437,0.7969,203.81
9015,questionable-engineering,national,False,2026,3,1,3,0,3,3,3,2,18,1487.0,0.6044,0.5111,40.22
4099,the-falcons,national,False,2026,3,3,3,0,1,3,3,2,18,1658.0,0.8611,0.7213,140.16
1257,parallel-universe,national,False,2026,3,3,2,0,3,2,3,2,18,1498.0,0.6484,0.3966,45.6
3061,huskie-robotics,national,False,2026,3,1,2,0,4,2,3,2,17,1637.0,0.8,0.6316,122.64
5137,iron-kodiaks,sandiego,True,2026,2,1,2,0,3,2,3,4,17,1589.0,0.7835,0.4634,95.08
2412,robototes,national,False,2026,2,1,2,3,1,3,3,2,17,1645.0,0.8372,0.6765,127.86
1114,simbotics,national,False,2025,3,1,3,0,3,2,4,1,17,1769.0,0.9385,0.6615,81.42
6995,nomad,both,True,2026,2,1,2,0,2,3,4,2,16,1664.0,0.8763,0.62,144.77
2767,stryke-force,national,False,2025,3,1,0,0,3,3,4,2,16,1761.0,0.9943,0.7922,80.11
4481,team-rembrandts,national,False,2025,3,1,2,0,3,3,3,1,16,1751.0,0.9877,0.7333,78.51
3636,team-3636,national,False,2026,3,1,3,0,2,1,4,2,16,1454.0,0.3,0.3667,27.21
868,techhounds,national,False,2026,1,3,2,0,1,3,3,2,15,1646.0,0.8676,0.7,129.05
3847,spectrum,national,False,2026,1,1,3,0,2,2,4,2,15,1679.0,0.9341,0.5909,157.62
3341,option-16,sandiego,True,2026,1,3,3,0,1,2,3,2,15,1447.0,0.2405,0.48,24.67
3255,supernurds,sandiego,True,2026,1,1,0,0,2,3,4,4,15,1747.0,0.9588,0.6167,202.25
2658,sigma-motion,sandiego,True,2026,2,1,1,0,2,2,3,4,15,1478.0,0.4124,0.5227,36.26
2102,team-paradox,sandiego,True,2026,2,1,2,0,1,3,3,2,14,1659.0,0.8729,0.6379,140.75
5712,hemlock-gray-matter,national,False,2026,2,3,2,0,2,1,2,2,14,1635.0,0.8736,0.6875,121.91
812,midnight-mechanics,sandiego,True,2026,1,1,1,0,1,3,3,4,14,1543.0,0.6838,0.5581,68.94
6695,galvaknights,sandiego,True,2026,1,1,0,3,1,2,1,4,13,1560.0,0.7216,0.4091,78.55
3128,aluminum-narwhals,both,True,2025,1,3,0,0,1,2,2,4,13,1721.0,0.9412,0.7045,73.76
2984,vikings,sandiego,True,2026,2,1,1,0,1,2,4,2,13,1490.0,0.4777,0.525,41.89
5190,green-hope-falcons,national,False,2026,2,3,1,0,1,2,2,2,13,1438.0,0.2809,0.4138,22.14
4915,spartronics,national,False,2026,1,3,1,0,1,2,3,2,13,1681.0,0.907,0.6618,159.11
7028,binary-battalion,national,False,2026,2,1,1,0,2,2,2,2,12,1693.0,0.9733,0.7619,168.73
4160,robucs,sandiego,True,2026,2,1,1,0,1,2,3,2,12,1484.0,0.4502,0.4074,38.77
4504,bc-robotics,national,False,2026,2,1,1,0,1,2,3,2,12,1546.0,0.8148,0.56,70.63
9573,maraudertech,sandiego,True,2026,2,1,1,0,1,2,3,2,12,1415.0,0.1203,0.2083,15.93
95,grasshoppers,national,False,2026,1,1,1,0,1,3,2,2,11,1613.0,0.8571,0.6667,109.03
4607,cis-robotics,national,False,2026,2,1,1,0,1,2,2,2,11,1638.0,0.9465,0.5,123.34
2877,ligerbots,national,False,2026,1,1,1,0,1,2,3,2,11,1711.0,0.9155,0.6721,179.51
2485,overclocked,sandiego,True,2026,1,1,1,0,1,2,3,2,11,1533.0,0.6667,0.4419,63.84
4919,team-ronin,sandiego,True,2026,1,1,1,0,1,2,2,2,10,1449.0,0.2577,0.4583,25.34
2839,daedalus,sandiego,True,2026,1,1,1,0,1,2,2,2,10,1348.0,0.0172,0.25,2.72
1538,holy-cows,both,True,2025,1,1,0,1,0,3,2,2,10,1670.0,0.917,0.6538,65.99
3749,team-optix,sandiego,True,2024,1,1,0,0,0,1,2,4,9,1571.0,0.7447,0.6538,23.24
1572,hammer-heads,sandiego,True,2024,2,1,1,0,1,2,2,0,9,1524.0,0.5603,0.5417,17.23
9730,metal-maniacs,sandiego,True,2026,1,1,1,0,0,2,1,1,7,1469.0,0.354,0.3333,32.54
8891,wild-raccoons,sandiego,True,2024,1,1,0,0,1,2,0,1,6,1516.0,0.5319,0.5152,16.28
5025,pacific-steel,sandiego,True,2023,1,1,1,0,0,1,0,1,5,1491.0,0.4593,0.5455,24.66
4419,team-rewind,sandiego,True,2024,1,1,0,1,0,1,0,1,5,1564.0,0.7163,0.4583,22.41
